nome,Depressao_Ponto_Orvalho,DSC_Soares,Probabilidade_Fogo,Classe_Risco,Cor_Risco,Data_Atualizacao,Umidade_13h,DSC,Depressao_Psicrometrica
Baía da Traição,7.3,2.04,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
São Sebastião do Umbuzeiro,22.1,29.76,6.1,5. Muito Alto,#DE1010,12/09/2026,,,
Aroeiras,15.3,19.62,1.5,2. Baixo,#C0C276,12/09/2026,,,
Santa Cecília,16.2,19.69,1.9,2. Baixo,#C0C276,12/09/2026,,,
Alcantil,16.5,10.93,1.9,3. Moderado,#E8A523,12/09/2026,,,
Gado Bravo,14.1,15.71,1.2,2. Baixo,#C0C276,11/09/2026,,,
Campina Grande,12.5,6.14,0.9,2. Baixo,#C0C276,12/09/2026,,,
Serra Redonda,10.5,4.63,0.6,2. Baixo,#C0C276,12/09/2026,,,
Salgadinho,20.7,28.36,4.6,4. Alto (Alerta),#DE5C0B,11/09/2026,,,
Montadas,10.0,11.52,0.5,2. Baixo,#C0C276,12/09/2026,,,
Junco do Seridó,19.8,27.5,3.9,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
Cuitegi,9.4,7.03,0.5,2. Baixo,#C0C276,12/09/2026,,,
Pedra Lavrada,15.5,25.0,1.6,2. Baixo,#C0C276,12/09/2026,,,
Borborema,7.3,2.54,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Nova Floresta,15.2,20.02,1.5,2. Baixo,#C0C276,12/09/2026,,,
São José do Brejo do Cruz,23.4,45.0,8.0,6. Critico,#82001F,12/09/2026,,,
Pedro Régis,10.4,12.14,0.6,2. Baixo,#C0C276,12/09/2026,,,
Puxinanã,10.4,10.02,0.6,2. Baixo,#C0C276,12/09/2026,,,
Baraúna,15.3,18.76,1.5,2. Baixo,#C0C276,12/09/2026,,,
Cacimba de Areia,22.6,45.0,6.9,5. Muito Alto,#DE1010,12/09/2026,,,
Conde,6.6,3.44,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Umbuzeiro,14.5,14.86,1.3,2. Baixo,#C0C276,12/09/2026,,,
Riachão do Bacamarte,13.5,4.59,1.0,2. Baixo,#C0C276,11/09/2026,,,
Pilõezinhos,7.7,1.49,0.3,1. Nulo,#A1A1A1,11/09/2026,,,
Lucena,7.7,2.24,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Juripiranga,11.8,9.16,0.7,2. Baixo,#C0C276,12/09/2026,,,
Queimadas,15.9,3.99,1.7,2. Baixo,#C0C276,12/09/2026,,,
João Pessoa,8.0,4.96,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Assunção,20.4,26.03,4.3,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
São Vicente do Seridó,18.4,23.44,2.9,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
Cacimbas,20.3,45.0,4.4,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
Camalaú,20.4,30.04,4.4,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
Monteiro,20.8,20.05,4.6,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
